star_name,hip_name,hd_name,gj_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr,st_teff,st_tefferr,st_mass,st_masserr,st_logg,st_loggerr,st_age,st_ageerr,st_metfe,st_metfeerr,st_metratio
HIP 57,HIP 57,HD 224789,,1,0,0,0,0,00h00m40.39s,0.168286,-69d40m32.9s,-69.675801,29.87,0.61,-0.59,8.24,0.02,0.88,0.02,K2V,0.46,0.07,4999,,0.82,,4.48,,,,,,
HIP 169 A,HIP 169 A,HD 224953,GJ 1294 A,1,0,0,0,0,00h02m08.41s,0.535021,-68d16m48.7s,-68.280206,15.33,0.47,-0.45,9.24,0.01,1.41,0.01,K5/M0V,0.08,0.12,3880,,0.53,,,,,,,,
HIP 171,HIP 171,HD 224930,GJ 914 A,1,0,1,0,0,00h02m09.65s,0.540188,+27d05m04.2s,27.084489,12.17,0.38,-0.35,5.8,0.01,0.69,0.02,G3V,0.7,0.09,5502,,0.91,,4.27,,,,,,
HIP 263,HIP 263,,,1,0,0,0,0,00h03m19.02s,0.829238,+04d41m13.7s,4.687136,29.21,2.89,-2.41,12.04,0.01,1.47,0.02,M1,0.04,0.25,3681,,0.45,,,,,,,,
HIP 375,HIP 375,,,1,0,0,0,0,00h04m40.15s,1.167294,+34d16m17.4s,34.271506,28.97,193.88,-13.48,9.08,,,,,0.16,,,,0.62,,,,,,,,
HIP 400,HIP 400,HD 225261,GJ 3003,1,0,0,0,0,00h04m56.08s,1.23366,+23d16m10.7s,23.269647,26.39,0.54,-0.52,7.81,0.02,0.77,0.02,G9V,0.52,0.07,5265,,0.79,,4.54,,12.28,,-0.44,,[Fe/H]
HIP 428,HIP 428,,GJ 2,1,0,0,0,0,00h05m10.16s,1.292336,+45d47m13.0s,45.786934,11.25,0.23,-0.22,9.95,0.01,1.47,0.02,M2,0.04,0.1,3664,,0.45,,,,,,,,
HIP 436,HIP 436,HD 55,GJ 3,1,0,0,0,0,00h05m17.87s,1.324453,-67d49m52.4s,-67.831227,15.89,0.16,-0.16,8.49,0.01,1.08,0.01,K5V,0.15,0.05,4514,,0.61,,,,,,,,
HIP 439,HIP 439,HD 225213,GJ 1,1,0,0,0,0,00h05m20.29s,1.334556,-37d21m06.1s,-37.351681,4.34,,,8.56,0.01,1.46,0.01,M1.5V,0.02,0.09,3696,,0.38,,,,,,,,
HIP 473 A,HIP 473 A,HD 38 A,GJ 4 A,1,0,0,0,0,00h05m40.28s,1.417823,+45d48m44.8s,45.812455,11.31,0.23,-0.22,8.83,0.03,1.41,0.01,K2,0.09,0.12,3867,,0.55,,4.79,,,,,,
HIP 518 A,HIP 518 A,HD 123,GJ 4.1 A,1,0,0,0,0,00h06m15.54s,1.564744,+58d26m12.1s,58.43669,21.48,0.22,-0.21,5.98,0,0.69,0,G5V,1.73,0.04,5718,,1.15,,4.5,,,,,,
HD 142,HIP 522,HD 142,GJ 4.2 A,1,1,0,1,2,00h06m18.66s,1.577763,-49d04m30.3s,-49.075094,25.71,0.26,-0.25,5.7,0.02,0.52,0.01,F7V,3,0.11,6249,,1.23,,4.26,,3.12,,0.1,,[Fe/H]
HIP 523,HIP 523,,GJ 3006,1,0,0,0,0,00h06m18.90s,1.57876,-65d50m21.1s,-65.839195,16.71,0.7,-0.64,12.17,0.01,1.58,0.01,M4,0.02,0.14,3455,,0.36,,,,,,,,
HIP 544,HIP 544,HD 166,GJ 5,1,0,1,1,0,00h06m36.53s,1.65221,+29d01m19.0s,29.021935,13.67,0.14,-0.14,6.06,0.02,0.75,0,K0V,0.68,0.11,5577,,0.98,,4.57,,1.9,,0.18,,[Fe/H]
HIP 669,HIP 669,HD 361,,1,0,0,0,0,00h08m16.37s,2.068209,-14d49m28.1s,-14.824466,27.44,0.56,-0.54,7.03,0.02,0.62,0.02,G2/3V,1.03,0.07,5837,,1.01,,4.47,,,,,,
HIP 677,HIP 677,HD 358,,1,1,0,0,0,00h08m23.17s,2.096533,+29d05m27.0s,29.090828,29.74,0.3,-0.29,2.06,0.01,-0.05,0.01,B9p,251.04,0.06,13098,,4.12,,3.91,,,,,,
HIP 687,HIP 687,,GJ 3008,1,0,0,0,0,00h08m27.34s,2.113901,+17d25m28.0s,17.424454,21.75,0.91,-0.84,10.76,0.01,1.48,0.01,M0,0.06,0.11,3854,,0.49,,,,,,,,
HIP 738,HIP 738,,GJ 7,1,0,0,0,0,00h09m03.90s,2.266269,-27d07m20.5s,-27.122352,23.45,1.5,-1.33,11.67,0.01,1.51,0.01,,0.03,0.18,3783,,0.41,,,,,,,,
HIP 746,HIP 746,HD 432,GJ 8,1,1,0,0,0,00h09m10.09s,2.29204,+59d09m00.8s,59.150218,16.78,0.17,-0.17,2.26,0.02,0.36,0.02,F2III-IV,29.09,0.06,6915,,2.37,,3.49,,,,,,
HIP 897,HIP 897,,GJ 3011,1,0,0,0,0,00h11m04.46s,2.768588,-05d47m02.4s,-5.783994,25.54,1.34,-1.22,10.86,0.01,1.42,0.02,M2,0.08,0.13,3859,,0.52,,,,,,,,
HIP 910,HIP 910,HD 693,GJ 10,1,1,0,0,0,00h11m15.91s,2.816284,-15d28m02.4s,-15.467323,18.75,0.19,-0.19,4.89,0.01,0.49,0.01,F5V,3.38,0.06,6255,,1.37,,4.18,,,,,,
HIP 916,HIP 916,,GJ 3012,1,0,0,0,0,00h11m20.89s,2.837028,+58d20m59.5s,58.349863,28.08,1.48,-1.34,9.5,0.01,1.25,0.02,K7,0.21,0.14,4325,,0.67,,,,,,,,
HIP 950,HIP 950,HD 739,GJ 3013,1,0,0,0,0,00h11m43.89s,2.932867,-35d08m00.2s,-35.133396,21.28,0.21,-0.21,5.24,0.02,0.43,0.02,F3/5V,3.07,0.1,6548,,1.33,,4.3,,,,,,
HIP 974,HIP 974,,,1,0,0,0,0,00h12m03.84s,3.015992,+27d05m57.0s,27.099154,26.36,0.82,-0.77,8.7,0.03,1.03,0.03,K0,0.27,0.11,4827,,0.72,,,,,,,,
HIP 1006,HIP 1006,,,1,0,0,0,0,00h12m33.39s,3.139138,+21d42m50.9s,21.714142,27.94,2.43,-2.07,11.67,0.01,1.48,0.02,,0.04,0.19,3926,,0.44,,,,,,,,
HIP 1031,HIP 1031,HD 870,GJ 2001,1,0,0,0,0,00h12m50.38s,3.209913,-57d54m45.7s,-57.912695,20.19,0.2,-0.2,7.22,0,0.78,0,K0V,0.52,0.04,5273,,0.84,,4.47,,,,,,
HIP 1068 A,HIP 1068 A,,GJ 11 A,1,0,0,0,0,00h13m14.64s,3.310993,+69d19m39.3s,69.327592,20.04,2.73,-2.15,12.46,1.26,1.4,0.5,M6,0.02,1.99,3382,,0.38,,,,,,,,
HIP 1083 A,HIP 1083 A,,,1,0,0,0,0,00h13m29.23s,3.371792,-36d49m40.5s,-36.827927,28.18,1.8,-1.6,10.77,0.01,1.44,0.01,,0.11,0.18,3820,,0.56,,,,,,,,
HIP 1092,HIP 1092,,GJ 3014 A,1,0,0,0,0,00h13m37.81s,3.407543,+80d39m55.2s,80.665339,19.59,0.61,-0.57,11.12,0.31,1.56,0.08,M0,0.05,0.49,3603,,0.46,,,,,,,,
HIP 1242,HIP 1242,,GJ 1005 A,1,0,0,0,0,00h15m27.67s,3.865281,-16d07m56.3s,-16.132307,5.94,0.06,-0.06,11.48,0.01,1.7,0.01,M3.5V,0.01,0.09,3243,,0.28,,,,,,,,
HIP 1276,HIP 1276,,GJ 3020,1,0,0,0,0,00h16m02.03s,4.008474,-48d15m37.0s,-48.260272,22.78,2.53,-2.07,11.55,0.01,1.51,0.01,M5,0.05,0.4,3424,,0.47,,,,,,,,
GJ 3021,HIP 1292,HD 1237,GJ 3021,1,0,0,1,1,00h16m11.24s,4.046838,-79d51m03.7s,-79.851041,17.5,0.18,-0.17,6.59,0,0.75,0,G6V,0.67,0.03,5336,,0.9,,4.42,,,,,,
HIP 1295,HIP 1295,,GJ 1006 A,1,0,0,0,0,00h16m14.19s,4.059106,+19d51m44.2s,19.86229,16.31,4.34,-2.83,11.78,0.09,1.49,0.02,M:,0.03,0.62,3393,,0.4,,,,,,,,
HIP 1322,HIP 1322,,,1,0,0,0,0,00h16m36.27s,4.151132,-50d16m10.8s,-50.269676,22.2,1.67,-1.45,12.35,0.01,1.53,0.01,M4,0.02,0.2,3606,,0.37,,,,,,,,
HIP 1349,HIP 1349,HD 1273,GJ 13,1,0,0,0,0,00h16m53.59s,4.2233,-52d39m05.7s,-52.651592,22.6,0.23,-0.22,6.85,0.01,0.65,0.01,G2V,0.89,0.05,5693,,0.97,,4.53,,,,,,
HIP 1368,HIP 1368,,GJ 14,1,0,0,0,0,00h17m05.94s,4.274733,+40d56m53.1s,40.948094,15,0.15,-0.15,8.99,0,1.37,0,M0,0.12,0.04,4060,,0.58,,,,,,,,
HIP 1386,HIP 1386,,GJ 3023,1,0,0,0,0,00h17m19.86s,4.33276,+29d10m55.1s,29.181964,23.2,1.22,-1.1,11.54,0.01,1.51,0.02,M:,0.05,0.16,3564,,0.47,,,,,,,,
HIP 1392 B,HIP 1392 B,HD 1317 B,,1,0,0,0,0,00h17m24.50s,4.352098,+08d52m34.8s,8.876334,15.19,5.91,-3.32,7.05,0.02,0.65,0.02,F5,0.32,0.73,5736,,0.74,,,,,,,,
HIP 1444,HIP 1444,HD 1388,GJ 9008,1,0,0,0,0,00h17m58.63s,4.494303,-13d27m20.3s,-13.455639,27.22,0.27,-0.27,6.51,0,0.6,0,G2V,1.65,0.04,5952,,1.05,,4.37,,4.88,,0,,[Fe/H]
HIP 1463,HIP 1463,,GJ 16,1,0,0,0,0,00h18m16.59s,4.569121,+10d12m10.3s,10.202861,16.34,0.51,-0.48,10.86,0.01,1.53,0.01,M0,0.04,0.23,3654,,0.44,,,,,,,,
GJ 15 A,HIP 1475,HD 1326 A,GJ 15 A,1,0,0,0,0,00h18m20.54s,4.585591,+44d01m19.0s,44.021956,3.57,,,8.13,0.03,1.48,0.03,M1.5V,0.02,0.11,3669,,0.38,,,,,,,,
HD 1461,HIP 1499,HD 1461,GJ 16.1,1,0,0,1,2,00h18m41.62s,4.673423,-08d03m09.5s,-8.052651,23.25,0.23,-0.23,6.45,0.02,0.67,0.01,G5V,1.28,0.05,5765,,1.03,,4.37,,7.12,,0.18,,[Fe/H]
HIP 1532,HIP 1532,,GJ 1008,1,0,0,0,0,00h19m05.58s,4.773266,-09d57m50.8s,-9.96412,21.08,0.65,-0.61,9.95,0.08,1.32,0,K7V,0.1,0.18,4070,,0.55,,,,,,,,
HIP 1546,HIP 1546,,,1,0,0,0,0,00h19m16.97s,4.820727,-19d54m29.8s,-19.908286,29.01,4.72,-3.56,12.5,0.02,1.55,0.1,K:...,0.02,0.35,3759,,0.39,,,,,,,,
HIP 1598,HIP 1598,HD 1562,,1,0,0,0,0,00h20m00.51s,5.002138,+38d13m41.0s,38.228069,24.8,0.25,-0.25,6.97,0.02,0.62,0.02,G0,0.9,0.06,5756,,0.97,,4.43,,,,,,
HIP 1599,HIP 1599,HD 1581,GJ 17,1,1,1,0,0,00h20m01.91s,5.007976,-64d52m39.4s,-64.877623,8.59,,,4.23,0.01,0.58,0.01,G0V,1.33,0.05,5948,,1.01,,4.41,,4.84,,-0.22,,[Fe/H]
HIP 1608,HIP 1608,,GJ 2003,1,0,0,0,0,00h20m08.29s,5.034562,-17d03m40.9s,-17.061356,23.2,2.29,-1.92,11.67,0.01,1.49,0.01,,0.04,0.22,3728,,0.43,,,,,,,,
HIP 1696,HIP 1696,,GJ 17.1,1,0,0,0,0,00h21m19.56s,5.331505,-45d44m40.0s,-45.744437,17.13,0.53,-0.5,10.39,0.01,1.48,0.01,M0,0.06,0.13,3788,,0.48,,,,,,,,
HIP 1720,HIP 1720,,GJ 3029,1,0,0,0,0,00h21m37.52s,5.406335,-46d05m30.3s,-46.091736,19.31,1.68,-1.43,12.24,0.01,1.53,0.01,M6,0.03,0.62,3373,,0.4,,,,,,,,
HIP 1734,HIP 1734,,GJ 1009,1,0,0,0,0,00h21m56.00s,5.483339,-31d24m20.1s,-31.405586,17.98,0.75,-0.69,11.13,0.01,1.51,0.01,M2V:,0.05,0.14,3528,,0.45,,,,,,,,
HIP 1768,HIP 1768,HD 1815,GJ 17.2,1,0,0,0,0,00h22m23.47s,5.597799,-27d01m53.8s,-27.031602,28.88,4.32,-3.32,8.32,0.02,0.89,0,K1V,0.43,0.33,4907,,0.8,,4.65,,,,,,
HIP 1803,HIP 1803,HD 1835,GJ 17.3,1,0,0,0,0,00h22m51.55s,5.714804,-12d12m34.5s,-12.209585,20.86,0.21,-0.21,6.39,0,0.66,0,G3V,1.09,0.03,5837,,1.06,,4.5,,2.5,,0.25,,[Fe/H]
HIP 1837,HIP 1837,HD 1910,GJ 2004,1,0,0,0,0,00h23m15.98s,5.816599,-33d10m04.2s,-33.167832,22.17,0.45,-0.43,8.75,0.03,1.08,0,K3/4V,0.21,0.08,4646,,0.67,,,,,,,,
HIP 1842,HIP 1842,,GJ 3032,1,0,0,0,0,00h23m18.02s,5.825079,-50d53m37.9s,-50.893872,19.68,1.04,-0.94,11.89,0.01,1.52,0.01,M:,0.03,0.16,3474,,0.41,,,,,,,,
HIP 1860,HIP 1860,,GJ 1010 A,1,0,0,0,0,00h23m31.03s,5.879297,+77d11m21.1s,77.189181,19.23,0.8,-0.74,11.31,0.01,1.46,0.01,K,0.04,0.13,3651,,0.43,,,,,,,,
HIP 1936,HIP 1936,HD 2025,GJ 18,1,0,0,0,0,00h24m25.50s,6.106239,-27d01m37.1s,-27.026976,18.22,0.37,-0.36,7.92,0.01,0.95,0.01,K2V,0.26,0.05,4865,,0.73,,4.61,,0.76,,-0.29,,[Fe/H]
HIP 1954,HIP 1954,HD 2071,,1,0,0,0,0,00h24m42.34s,6.176414,-53d59m02.1s,-53.98393,27.23,0.56,-0.53,7.27,0.02,0.67,0.02,G8IV+(F),0.83,0.06,5693,,0.95,,4.49,,5.08,,-0.09,,[Fe/H]
HIP 2021,HIP 2021,HD 2151,GJ 19,1,1,1,0,0,00h25m39.20s,6.413342,-77d15m18.1s,-77.255035,7.46,,,2.82,0.01,0.62,0.01,G1IV,3.7,0.05,5873,,1.14,,3.99,,6.32,,-0.07,,[Fe/H]
HIP 2072,HIP 2072,HD 2262,GJ 20,1,1,0,0,0,00h26m12.12s,6.550484,-43d40m47.7s,-43.679909,23.81,,,3.93,0.01,0.18,0.01,A6VN,12.77,0.05,7922,,1.92,,3.97,,,,,,
HIP 2081,HIP 2081,HD 2261,GJ 9013,1,1,0,0,0,00h26m16.87s,6.570281,-42d18m18.4s,-42.305122,25.97,0.53,-0.51,2.4,0.01,1.08,0.02,K0IIIB,88.07,0.07,4436,,3.15,,2.53,,,,,,
HIP 2120,HIP 2120,,GJ 21,1,0,0,0,0,00h26m52.94s,6.720574,+70d08m34.0s,70.142777,16.48,0.34,-0.32,10.52,0.01,1.46,0.02,M0,0.05,0.11,3740,,0.47,,,,,,,,
HIP 2426,HIP 2426,,,1,0,0,0,0,00h30m55.09s,7.729544,+73d22m13.7s,73.370471,27.09,1.13,-1.04,10.63,0.01,1.36,0.02,,0.08,0.1,4064,,0.53,,,,,,,,
HIP 2540,HIP 2540,,GJ 3038,1,0,0,0,0,00h32m14.74s,8.061399,-63d05m27.6s,-63.091013,24.97,0.77,-0.73,9.65,0,1.37,0,M0,0.19,0.07,4017,,0.65,,,,,,,,
HIP 2552 A,HIP 2552 A,,GJ 22 A,1,0,0,0,0,00h32m26.81s,8.111716,+67d14m10.4s,67.236215,10.07,0.21,-0.2,10.48,0.14,1.29,0.14,M2.5Ve,0.01,0.21,4154,,0.32,,,,,,,,
HIP 2711,HIP 2711,HD 3158,GJ 22.2,1,0,0,0,0,00h34m27.62s,8.615063,-52d22m23.5s,-52.373183,25.48,0.26,-0.25,5.57,0.02,0.47,0.01,F6V,3.28,0.05,6428,,1.36,,4.2,,,,,,
HIP 2715,HIP 2715,HD 3125 C,,1,0,0,0,0,00h34m30.67s,8.627778,-04d32m33.6s,-4.542658,22.94,12.35,-5.95,8.58,0.03,0.65,0.03,G0,0.16,0.96,5731,,0.62,,,,,,,,
HIP 2742,HIP 2742,HD 3141,,1,0,0,0,0,00h35m01.00s,8.754168,+42d41m41.8s,42.69495,28.9,0.59,-0.57,8.02,0.02,0.89,0.02,K0IV,0.53,0.08,5220,,0.85,,,,,,,,
HIP 2743,HIP 2743,HD 3222,,1,0,0,0,0,00h35m01.65s,8.756878,-63d41m37.8s,-63.693828,29.24,0.6,-0.57,8.54,0.02,0.85,0.01,K2V,0.36,0.08,4928,,0.77,,4.55,,,,,,
HIP 2762 A,HIP 2762 A,HD 3196,GJ 23 A,1,0,0,0,0,00h35m14.64s,8.811004,-03d35m33.9s,-3.592758,21.25,0.21,-0.21,5.2,0.01,0.57,0.01,F8V,3.31,0.11,6067,,1.36,,4.35,,,,,,
HIP 2790,HIP 2790,HD 3277,,1,0,0,0,0,00h35m34.17s,8.892365,-39d44m45.2s,-39.74589,28.79,0.59,-0.56,7.45,0,0.73,0,G8V,0.85,0.05,5539,,0.89,,4.44,,11.64,,-0.07,,[Fe/H]
HIP 2941 A,HIP 2941 A,HD 3443 A,GJ 25 A,1,0,1,0,0,00h37m19.79s,9.332446,-24d46m02.0s,-24.767225,15.4,0.48,-0.45,5.57,0,0.72,0,K1V+G,1.32,0.08,5480,,1.07,,4.28,,,,,,
HIP 3008,HIP 3008,,GJ 3044,1,0,0,0,0,00h38m15.36s,9.564008,+52d19m56.7s,52.332425,23.7,1.25,-1.13,10.48,0.01,1.42,0.02,M0,0.08,0.12,3965,,0.53,,,,,,,,
HD 3651,HIP 3093,HD 3651,GJ 27,1,0,1,1,1,00h39m22.09s,9.842061,+21d15m04.9s,21.251374,11.06,,,5.88,0.01,0.85,0.01,K0V,0.54,0.05,5221,,0.88,,4.51,,8.2,,0.16,,[Fe/H]
HIP 3143,HIP 3143,,GJ 27.1,1,0,0,0,0,00h39m58.43s,9.99346,-44d15m09.6s,-44.252679,23.99,1.81,-1.57,11.41,0.01,1.48,0.01,M4,0.05,0.18,3706,,0.46,,,,,,,,
HIP 3170,HIP 3170,HD 3823,GJ 29,1,0,0,0,0,00h40m24.66s,10.102734,-59d27m20.5s,-59.455681,24.96,0.25,-0.25,5.89,0.01,0.56,0.02,F6/8V,2.42,0.1,6014,,1.05,,4.17,,7.2,,-0.27,,[Fe/H]
HIP 3185,HIP 3185,HD 3795,GJ 27.2,1,0,0,0,0,00h40m32.40s,10.135016,-23d48m14.4s,-23.803993,28.89,0.29,-0.29,6.14,0.01,0.72,0.01,G3/5V,2.76,0.11,5369,,1.46,,4.06,,11.6,,-0.58,,[Fe/H]
HIP 3203 A,HIP 3203 A,HD 3821,GJ 9020 A,1,0,0,0,0,00h40m47.48s,10.197843,-07d13m56.6s,-7.232384,26.5,0.54,-0.52,7.02,0.01,0.62,0.02,G2/3V,0.98,0.06,5828,,1.01,,4.51,,5,,-0.06,,[Fe/H]
HIP 3206,HIP 3206,HD 3765,GJ 28,1,0,0,0,0,00h40m49.00s,10.204158,+40d11m19.7s,40.188799,17.33,0.18,-0.17,7.36,0.01,0.94,0.02,K2V,0.37,0.05,5032,,0.85,,4.58,,2,,0.18,,[Fe/H]
HIP 3261,HIP 3261,,GJ 1016,1,0,0,0,0,00h41m30.72s,10.377988,-33d37m29.8s,-33.624954,19.53,0.81,-0.75,10.53,0.01,1.44,0.01,,0.06,0.11,3885,,0.48,,,,,,,,
HIP 3362,HIP 3362,,GJ 29.1,1,0,0,0,0,00h42m48.06s,10.700258,+35d32m55.0s,35.548603,23.3,1.75,-1.52,10.44,0.23,1.54,0.23,M1Ve+...,0.12,0.44,3650,,0.58,,,,,,,,
HIP 3378,HIP 3378,,,1,0,0,0,0,00h42m56.51s,10.735442,+22d39m34.5s,22.659574,28.93,2.86,-2.39,11.55,0.01,1.44,0.02,M1,0.05,0.22,3864,,0.47,,,,,,,,
HIP 3418,HIP 3418,,GJ 30,1,0,0,0,0,00h43m33.00s,10.887509,+33d50m43.6s,33.845433,20.57,0.42,-0.4,8.73,0.01,1.13,0.02,K8,0.2,0.06,4502,,0.66,,,,,,,,
HIP 3419,HIP 3419,HD 4128,GJ 31,1,1,0,0,0,00h43m35.23s,10.896785,-17d59m12.1s,-17.986684,29.53,,,2.02,0.02,1.04,0.02,K0III,151.95,0.06,4944,,3.63,,,,,,,,
HD 4308,HIP 3497,HD 4308,GJ 31.5,1,0,0,1,1,00h44m39.04s,11.162685,-65d38m51.8s,-65.647718,22.06,0.22,-0.22,6.55,0,0.66,0.01,G5V,1.07,0.03,5695,,0.93,,4.41,,8.68,,-0.31,,[Fe/H]
HIP 3505,HIP 3505,HD 4247,GJ 31.3,1,0,0,0,0,00h44m44.44s,11.185155,-22d00m22.8s,-22.006332,26.75,0.27,-0.26,5.22,0.02,0.32,0.02,F0V,4.85,0.04,6903,,1.5,,4.13,,,,,,
HIP 3535,HIP 3535,HD 4256,GJ 31.4,1,0,0,0,0,00h45m04.92s,11.270512,+01d47m12.9s,1.786914,21.57,0.22,-0.21,8,0.01,1.02,0.01,K3V,0.32,0.05,4930,,0.85,,4.61,,7.6,,0.34,,[Fe/H]
HIP 3583,HIP 3583,HD 4391,GJ 1021,1,0,0,0,0,00h45m45.43s,11.439308,-47d33m07.8s,-47.552176,15.16,0.15,-0.15,5.8,0,0.64,0,G1V,0.98,0.02,5772,,1,,4.5,,,,,,
HIP 3588 A,HIP 3588 A,HD 4378 A,GJ 32 A,1,0,0,0,0,00h45m48.05s,11.450198,-41d54m32.4s,-41.909009,15.82,0.32,-0.31,7.88,0.01,1.26,0.01,K5/M0V,0.2,0.11,4225,,0.66,,,,,,,,
HIP 3645,HIP 3645,HD 4449,,1,0,0,0,0,00h46m40.52s,11.668823,-04d25m35.1s,-4.426405,28.76,2.5,-2.13,7.57,0,0.82,0.01,K0/1V,0.79,0.18,5237,,0.94,,,,,,,,
HIP 3757,HIP 3757,,,1,0,0,0,0,00h48m13.23s,12.055117,-05d08m06.6s,-5.135178,23.77,2.35,-1.96,12.05,0.02,1.51,0.02,M2.5V,0.03,0.24,3653,,0.4,,,,,,,,
HIP 3765,HIP 3765,HD 4628,GJ 33,1,1,1,1,0,00h48m22.53s,12.093888,+05d17m00.2s,5.283389,7.45,,,5.74,0.01,0.89,0.01,K1V,0.3,0.05,4944,,0.76,,4.59,,11.4,,-0.27,,[Fe/H]
HIP 3810,HIP 3810,HD 4676,GJ 34.1,1,0,0,0,0,00h48m58.71s,12.244624,+16d56m28.1s,16.941134,23.45,0.24,-0.23,5.06,0.02,0.5,0,F8V...,4.49,0.1,6254,,1.47,,4.38,,,,,,
HIP 3813,HIP 3813,,GJ 3059,1,0,0,0,0,00h49m01.48s,12.256159,-50d08m39.8s,-50.144394,21.59,0.9,-0.83,10.73,0.01,1.46,0.01,M2,0.06,0.14,3819,,0.49,,,,,,,,
HIP 3821 A,HIP 3821 A,HD 4614,GJ 34 A,1,1,1,1,0,00h49m05.10s,12.271253,+57d48m59.6s,57.816548,5.94,0.06,-0.06,3.45,0.02,0.57,0.02,G3V,1.31,0.06,5941,,0.99,,4.44,,2.88,,-0.25,,[Fe/H]
HIP 3829,HIP 3829,,GJ 35,1,0,0,0,0,00h49m09.18s,12.288238,+05d23m42.7s,5.395198,4.3,,,12.37,0,0.55,0,DZ7,0,0.03,6916,,0.11,,,,,,,,
HIP 3850,HIP 3850,HD 4747,GJ 36,1,0,0,0,0,00h49m26.44s,12.360155,-23d12m46.0s,-23.212774,18.69,0.19,-0.19,7.16,0.01,0.77,0.01,G8/K0V,0.47,0.04,5335,,0.85,,4.58,,1.44,,-0.22,,[Fe/H]
HIP 3876,HIP 3876,HD 4635,,1,0,0,0,0,00h49m45.84s,12.440996,+70d26m56.4s,70.448997,21.63,0.22,-0.21,7.73,0.02,0.9,0.02,K0,0.4,0.06,5090,,0.79,,,,,,,,
HIP 3879,HIP 3879,HD 4838,,1,0,0,0,0,00h49m48.23s,12.450944,-54d35m36.1s,-54.593364,28.71,1.2,-1.1,9.5,0.05,1.16,0.01,K4V,0.19,0.13,4490,,0.66,,,,,,,,
HIP 3909,HIP 3909,HD 4813,GJ 37,1,0,1,0,0,00h50m07.72s,12.532185,-10d38m37.6s,-10.64377,15.75,0.16,-0.16,5.16,0.02,0.51,0.01,F7V,1.85,0.1,6250,,1.17,,4.28,,,,,,
HIP 3937 A,HIP 3937 A,,GJ 3060 A,1,0,0,0,0,00h50m33.12s,12.63798,+24d49m00.6s,24.816822,11.85,0.76,-0.67,12.15,0.01,1.63,0.01,M3Vkee,0.01,0.16,3266,,0.34,,,,,,,,
HIP 3979,HIP 3979,HD 4915,,1,0,0,0,0,00h51m10.69s,12.79456,-05d02m20.4s,-5.038989,21.52,0.22,-0.21,6.96,0.02,0.66,0.01,G5V,0.7,0.06,5650,,0.94,,4.53,,0.76,,-0.19,,[Fe/H]
HIP 3998,HIP 3998,HD 4913,GJ 39,1,0,0,0,0,00h51m21.72s,12.840505,+18d44m23.6s,18.739901,21.37,0.66,-0.62,9.24,0.06,1.19,0,K2,0.15,0.15,4347,,0.62,,,,,,,,
HIP 4012,HIP 4012,,GJ 38,1,0,0,0,0,00h51m28.10s,12.867071,+58d18m03.8s,58.301042,18.51,0.97,-0.88,10.66,0.01,1.36,0.02,M2,0.04,0.12,3935,,0.45,,,,,,,,
HIP 4022,HIP 4022,HD 4967,GJ 40 A,1,0,0,0,0,00h51m33.63s,12.890132,-22d54m33.8s,-22.909395,15.63,0.32,-0.31,8.95,0.01,1.3,0.01,K5V,0.12,0.06,4192,,0.58,,,,,,,,
HIP 4067,HIP 4067,,,1,0,0,0,0,00h52m09.34s,13.038921,+06d48m11.0s,6.803064,27.51,2.72,-2.27,11.8,0.02,1.47,0.03,K7,0.04,0.22,3888,,0.43,,,,,,,,
HIP 4148,HIP 4148,HD 5133,GJ 42,1,0,0,0,0,00h53m00.72s,13.252982,-30d21m25.2s,-30.356991,14.17,0.14,-0.14,7.15,0,0.94,0.01,K2V,0.31,0.04,4968,,0.8,,4.62,,6,,-0.04,,[Fe/H]
HIP 4151,HIP 4151,HD 5015,GJ 41,1,1,0,0,0,00h53m04.28s,13.267831,+61d07m24.8s,61.123557,18.74,0.19,-0.19,4.8,0.01,0.54,0.01,F8V,3.66,0.05,6196,,1.39,,,,,,,,
HIP 4189,HIP 4189,,,1,0,0,0,0,00h53m23.84s,13.349335,-41d14m16.8s,-41.237995,23.98,6.76,-4.32,11.91,0.01,1.54,0.01,M1V,0.03,0.55,,,0.42,,,,,,,,
HIP 4223,HIP 4223,,,1,0,0,0,0,00h53m53.00s,13.470819,+45d56m39.8s,45.9444,26.81,1.71,-1.52,11.11,0.01,1.44,0.02,M2,0.06,0.16,3904,,0.49,,,,,,,,
HIP 4290,HIP 4290,HD 5294,GJ 42.1,1,0,0,0,0,00h54m59.39s,13.74745,+24d06m02.5s,24.100707,29.06,0.59,-0.57,7.4,0.02,0.65,0.02,G5,0.84,0.12,5744,,0.95,,,,,,,,
HIP 4443,HIP 4443,,,1,0,0,0,0,00h56m50.55s,14.210605,-11d35m17.7s,-11.588253,24.77,1.86,-1.62,11.12,0.01,1.47,0.01,,0.06,0.17,3843,,0.48,,,,,,,,
HIP 4454,HIP 4454,HD 5351,GJ 3066,1,0,0,0,0,00h57m03.25s,14.263521,+69d02m38.5s,69.044022,24.45,0.5,-0.48,9.12,0.02,1.03,0.02,K4V,0.18,0.07,4607,,0.65,,,,,,,,
