star_name,hip_name,hd_name,gj_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr,st_teff,st_tefferr,st_mass,st_masserr,st_logg,st_loggerr,st_age,st_ageerr,st_metfe,st_metfeerr,st_metratio
HIP 105184,HIP 105184,HD 202628,GJ 825.2,1,0,0,0,0,21h18m27.08s,319.612815,-43d20m04.9s,-43.334703,24.42,0.25,-0.24,6.75,0,0.64,0,G2V,1.06,0.03,5816,,1.04,,4.5,,0.64,,-0.01,,[Fe/H]
HIP 105199,HIP 105199,HD 203280,GJ 826,1,1,1,0,0,21h18m34.58s,319.64409,+62d35m07.6s,62.585455,15.04,,,2.43,0.02,0.24,0.02,A7IV-V,19.93,0.06,7773,,2.15,,3.45,,,,,,
HIP 105312 A,HIP 105312 A,HD 202940,GJ 825.4 A,1,0,0,0,0,21h19m46.00s,319.941683,-26d21m07.2s,-26.352011,17.97,0.18,-0.18,6.56,0.01,0.74,0.02,G5V,0.78,0.04,5354,,0.94,,4.32,,,,,,
HIP 105336,HIP 105336,,GJ 9732,1,0,0,0,0,21h20m10.46s,320.043564,-67d39m06.4s,-67.651777,20.48,1.08,-0.98,10.9,0.01,1.49,0.01,,0.06,0.14,3680,,0.49,,,,,,,,
HIP 105341,HIP 105341,HD 203040,GJ 826.1,1,0,0,0,0,21h20m13.93s,320.058036,-19d51m01.9s,-19.850532,16.22,0.33,-0.32,9.09,0.01,1.37,0.01,K5V,0.12,0.07,4089,,0.58,,,,,,,,
HIP 105406,HIP 105406,HD 203454,,1,0,0,0,0,21h21m01.44s,320.255993,+40d20m44.1s,40.345574,27.01,0.27,-0.27,6.39,0.02,0.53,0.01,F8V,1.82,0.05,6051,,1.17,,4.16,,,,,,
HIP 105533,HIP 105533,,,1,0,0,0,0,21h22m26.63s,320.610976,+10d52m25.3s,10.873683,20.47,0.63,-0.6,9.92,0.01,1.4,0.01,M0,0.1,0.15,3989,,0.55,,,,,,,,
HIP 105675,HIP 105675,HD 203413,,1,0,0,0,0,21h24m15.24s,321.063519,-58d41m32.1s,-58.69226,25.11,0.78,-0.73,8.68,0.03,1.06,0.03,K3V,0.26,0.1,4783,,0.71,,,,,,,,
HIP 105679,HIP 105679,,GJ 826.2,1,0,0,0,0,21h24m17.73s,321.073872,-46d41m34.6s,-46.692956,25.24,3.44,-2.7,12.45,0.01,1.52,0.02,M5,0.03,0.29,3556,,0.39,,,,,,,,
HIP 105712,HIP 105712,HD 203244,GJ 1262,1,0,0,0,0,21h24m40.42s,321.168419,-68d13m41.7s,-68.228245,20.42,0.21,-0.2,6.98,0.02,0.72,0.01,G5V,0.64,0.05,5445,,0.89,,4.5,,,,,,
